File Name,Date Modified,Date Created,Date Last Opened,Kind,Size,Files,Path,Parent Folder,Location
.DS_Store,2026-09-15 06:25:45 +0000,2026-09-06 17:32:36 +0000,,,8 KB,1,/Users/pq/aikagan-web/.DS_Store,aikagan-web,/Users/pq/aikagan-web
run.sh,2026-09-15 03:01:55 +0000,2026-09-15 03:01:55 +0000,,Shell Script,360 bytes,1,/Users/pq/aikagan-web/run.sh,aikagan-web,/Users/pq/aikagan-web
.codex,2026-09-07 00:12:33 +0000,2026-09-02 07:20:43 +0000,,Folder,2 bytes,0,/Users/pq/aikagan-web/.codex,aikagan-web,/Users/pq/aikagan-web/.codex
.DS_Store,2026-09-07 00:12:33 +0000,2026-09-07 00:12:33 +0000,,,6 KB,1,/Users/pq/aikagan-web/.codex/.DS_Store,.codex,/Users/pq/aikagan-web/.codex
environments,2026-09-02 07:20:43 +0000,2026-09-02 07:20:43 +0000,,Folder,1 byte,0,/Users/pq/aikagan-web/.codex/environments,.codex,/Users/pq/aikagan-web/.codex/environments
environment.toml,2026-09-02 07:20:43 +0000,2026-09-02 07:20:43 +0000,,Toml Source File,100 bytes,1,/Users/pq/aikagan-web/.codex/environments/environment.toml,environments,/Users/pq/aikagan-web/.codex/environments
.opencode,2026-09-07 00:11:58 +0000,2026-09-06 17:27:55 +0000,,Folder,6 bytes,0,/Users/pq/aikagan-web/.opencode,aikagan-web,/Users/pq/aikagan-web/.opencode
.DS_Store,2026-09-07 00:12:33 +0000,2026-09-07 00:11:58 +0000,,,6 KB,1,/Users/pq/aikagan-web/.opencode/.DS_Store,.opencode,/Users/pq/aikagan-web/.opencode
.gitignore,2026-09-06 17:27:56 +0000,2026-09-06 17:27:56 +0000,,Data,63 bytes,1,/Users/pq/aikagan-web/.opencode/.gitignore,.opencode,/Users/pq/aikagan-web/.opencode
openwork.json,2026-09-06 17:27:55 +0000,2026-09-06 17:27:55 +0000,,Json,198 bytes,1,/Users/pq/aikagan-web/.opencode/openwork.json,.opencode,/Users/pq/aikagan-web/.opencode
package-lock.json,2026-09-06 17:28:08 +0000,2026-09-06 17:28:08 +0000,,Json,14 KB,1,/Users/pq/aikagan-web/.opencode/package-lock.json,.opencode,/Users/pq/aikagan-web/.opencode
package.json,2026-09-06 17:28:08 +0000,2026-09-06 17:28:08 +0000,,Json,64 bytes,1,/Users/pq/aikagan-web/.opencode/package.json,.opencode,/Users/pq/aikagan-web/.opencode
node_modules,2026-09-07 00:12:03 +0000,2026-09-06 17:28:03 +0000,,Folder,27 bytes,0,/Users/pq/aikagan-web/.opencode/node_modules,.opencode,/Users/pq/aikagan-web/.opencode/node_modules
.DS_Store,2026-09-07 00:12:33 +0000,2026-09-07 00:12:03 +0000,,,14 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/.DS_Store,node_modules,/Users/pq/aikagan-web/.opencode/node_modules
.package-lock.json,2026-09-06 17:28:08 +0000,2026-09-06 17:28:08 +0000,,Json,11 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/.package-lock.json,node_modules,/Users/pq/aikagan-web/.opencode/node_modules
.bin,2026-09-06 17:28:08 +0000,2026-09-06 17:28:08 +0000,,Folder,7 bytes,0,/Users/pq/aikagan-web/.opencode/node_modules/.bin,node_modules,/Users/pq/aikagan-web/.opencode/node_modules/.bin
download-msgpackr-prebuilds,2026-09-06 17:28:08 +0000,2026-09-06 17:28:08 +0000,,Symbolic Link,336 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/.bin/download-msgpackr-prebuilds,.bin,/Users/pq/aikagan-web/.opencode/node_modules/.bin
